genus,family
Melosira,Melosiraceae
Aulacoseira,Aulacosiraceae
Aulacoseira,Aulacosiraceae
Aulacoseira,Aulacosiraceae
Thalassiosira,Thalassiosiraceae
Cyclotella,Stephanodiscaceae
Cyclotella,Stephanodiscaceae
Cyclostephanos,Stephanodiscaceae
Cyclostephanos,Stephanodiscaceae
Cyclostephanos,Stephanodiscaceae
Stephanodiscus,Stephanodiscaceae
Stephanodiscus,Stephanodiscaceae
Stephanodiscus,Stephanodiscaceae
Discostella,Stephanodiscaceae
Discostella,Stephanodiscaceae
Thalassiosira,Thalassiosiraceae
Cyclotella,Stephanodiscaceae
Cyclotella,Stephanodiscaceae
Cyclotella,Stephanodiscaceae
Staurosira,Fragilariaceae
Staurosira,Fragilariaceae
Staurosira,Fragilariaceae
Staurosirella,Fragilariaceae
Pseudostaurosira,Fragilariaceae
Diatoma,Fragilariaceae
Diatoma,Fragilariaceae
Diatoma,Fragilariaceae
Tabellaria,Tabellariaceae
Asterionella,Fragilariaceae
Fragilaria,Fragilariaceae
Ctenophora,Fragilariaceae
Tabularia,Fragilariaceae
Ulnaria,Fragilariaceae
Ulnaria,Fragilariaceae
Ulnaria,Fragilariaceae
Fragilaria,Fragilariaceae
Fragilaria,Fragilariaceae
Fragilaria,Fragilariaceae
Fragilaria,Fragilariaceae
Fragilaria,Fragilariaceae
Fragilaria,Fragilariaceae
Nitzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Tryblionella,Bacillariaceae
Nitzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Hantzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Nitzschia,Bacillariaceae
Bacillaria,Bacillariaceae
Nitzschia,Bacillariaceae
Gyrosigma,Pleurosigmataceae
Hippodonta,Naviculaceae
Navicula,Naviculaceae
Navicula,Naviculaceae
Navicula,Naviculaceae
Navicula,Naviculaceae
Navicula,Naviculaceae
Navicula,Naviculaceae
Navicula,Naviculaceae
Navicula,Naviculaceae
Navicula,Naviculaceae
Navicula,Naviculaceae
Navicula,Naviculaceae
Navicula,Naviculaceae
Navicula,Naviculaceae
Cocconeis,Cocconeidaceae
Cocconeis,Cocconeidaceae
Planothidium,Achnanthidiaceae
Encyonema,Cymbellaceae
Encyonema,Cymbellaceae
Encyonema,Cymbellaceae
Cymbella,Cymbellaceae
Cymbella,Cymbellaceae
Cymbella,Cymbellaceae
Cymbella,Cymbellaceae
Cymbopleura,Cymbellaceae
Gomphonema,Gomphonemataceae
Reimeria,Gomphonemataceae
Gomphonema,Gomphonemataceae
Gomphonema,Gomphonemataceae
Gomphonema,Gomphonemataceae
Gomphonema,Gomphonemataceae
Gomphonema,Gomphonemataceae
Gomphonema,Gomphonemataceae
Gomphonema,Gomphonemataceae
Gomphonema,Gomphonemataceae
Gomphonema,Gomphonemataceae
Gomphonema,Gomphonemataceae
Lemnicola,Achnanthidiaceae
Eucocconeis,Achnanthidiaceae
Achnanthidium,Achnanthidiaceae
Frustulia,Amphipleuraceae
Amphora,Catenulaceae
Amphora,Catenulaceae
Surirella,Surirellaceae
Surirella,Surirellaceae
Cymatopleura,Surirellaceae
Fistulifera,Naviculaceae
Craticula,Stauroneidaceae
Craticula,Stauroneidaceae
Eolimna,Naviculaceae
Craticula,Stauroneidaceae
Luticola,Diadesmidaceae
Mayamaea,Naviculaceae
Mayamaea,Naviculaceae
Pinnularia,Pinnulariaceae
Pinnularia,Pinnulariaceae
Caloneis,Naviculaceae
Fallacia,Sellaphoraceae
Sellaphora,Sellaphoraceae
Sellaphora,Sellaphoraceae
Sellaphora,Sellaphoraceae
Eunotia,Eunotiaceae
Eunotia,Eunotiaceae
